Questions,Answers,b,c,v,id,Text
Whose mother found him a wife from Egypt?,Ishmael ,1,21,21,1021021,"He lived in the wilderness of Paran, and his mother took a wife for him from the land of Egypt."
"Noah was a ""preacher"" of what?",Righteousness ,61,2,5,61002005,"if he did not spare the ancient world, but preserved Noah, a herald of righteousness, with seven others, when he brought a flood upon the world of the ungodly;"
"Which of the twelve sons of Jacob had a name that means ""praise""?",Judah,1,29,35,1029035,"And she conceived again and bore a son, and said, ""This time I will praise the LORD."" Therefore she called his name Judah. Then she ceased bearing."
In the parable that Jesus told Simon the Pharisee what did the creditor do when the debtors couldn't pay?,Cancelled their debts,42,7,42,42007042,"When they could not pay, he cancelled the debt of both. Now which of them will love him more?"""
How many men and women were in the temple to watch Samson entertain them?,3000,7,16,27,7016027,"Now the house was full of men and women. All the lords of the Philistines were there, and on the roof there were about 3,000 men and women, who looked on while Samson entertained."
Why shouldn't we be yoked with unbelievers?,what partnership has righteousness with lawlessness,47,6,14,47006014,Do not be unequally yoked with unbelievers. For what partnership has righteousness with lawlessness? Or what fellowship has light with darkness?
What was the name of the servant who had his ear cut off at the arrest of Jesus?,Malchus,43,18,10,43018010,"Then Simon Peter, having a sword, drew it and struck the high priest's servant and cut off his right ear. (The servant's name was Malchus.)"
What did Samson carry to the top of the hill overlooking Hebron?,City gates,7,16,3,7016003,"But Samson lay till midnight, and at midnight he arose and took hold of the doors of the gate of the city and the two posts, and pulled them up, bar and all, and put them on his shoulders and carried them to the top of the hill that is in front of Hebron."
Whose house did Paul go to in Caesarea?,Philip,44,21,8,44021008,"On the next day we departed and came to Caesarea, and we entered the house of Philip the evangelist, who was one of the seven, and stayed with him."
Who went to sleep during one of Paul's sermons and fell out of the window?,Eutychus,44,20,9,44020009,"And a young man named Eutychus, sitting at the window, sank into a deep sleep as Paul talked still longer. And being overcome by sleep, he fell down from the third story and was taken up dead."
One title of God is El Shaddai which means what?,Almighty God,1,17,1,1017001,"When Abram was ninety-nine years old the LORD appeared to Abram and said to him, ""I am God Almighty; walk before me, and be blameless,"
What is the seventh commandment?,Thou shall not commit adultery ,2,20,14,2020014,"""You shall not commit adultery."
How many cities of refuge were on the east side of Jordan?,Three,5,4,41,5004041,"Then Moses set apart three cities in the east beyond the Jordan,"
What was the name of Joseph's (son of Jacob) first born son?,Manasseh,1,41,51,1041051,"Joseph called the name of the firstborn Manasseh. ""For,"" he said, ""God has made me forget all my hardship and all my father's house."""
According to the Bible what sort of man was Noah?,Just / Godly / Blameless,1,6,9,1006009,"These are the generations of Noah. Noah was a righteous man, blameless in his generation. Noah walked with God."
How many tribes inherited land on the east of Jordan?,Two and a half,6,18,7,6018007,"The Levites have no portion among you, for the priesthood of the LORD is their heritage. And Gad and Reuben and half the tribe of Manasseh have received their inheritance beyond the Jordan eastward, which Moses the servant of the LORD gave them."""
What relation was Lois to Timothy?,Grandmother,55,1,5,55001005,"I am reminded of your sincere faith, a faith that dwelt first in your grandmother Lois and your mother Eunice and now, I am sure, dwells in you as well."
In the parable of the Good Samaritan what did the Levite do when he passed by the robbed man?,Passed on,42,10,32,42010032,"So likewise a Levite, when he came to the place and saw him, passed by on the other side."
Who did the elders of Gilead ask to be their leader against the Ammonites?,Jephthah,7,11,8,7011008,"And the elders of Gilead said to Jephthah, ""That is why we have turned to you now, that you may go with us and fight with the Ammonites and be our head over all the inhabitants of Gilead."""
What was the name of the prophet who prophesied that Paul would be bound at Jerusalem?,Agabus,44,21,10,44021010,"While we were staying for many days, a prophet named Agabus came down from Judea."
How did King Zimri commit suicide?,Burned his house down while still inside it,11,16,18,11016018,"And when Zimri saw that the city was taken, he went into the citadel of the king's house and burned the king's house over him with fire and died,"
In the parable of the laborers in the vineyard how much was each person paid to work?,One pence,40,20,2,40020002,"After agreeing with the laborers for a denarius a day, he sent them into his vineyard."
Whose wife went into labor and gave birth on hearing the news that the Ark of God was captured and that her father-in-law and husband were dead?,Phinehas',9,4,19,9004019,"Now his daughter-in-law, the wife of Phinehas, was pregnant, about to give birth. And when she heard the news that the ark of God was captured, and that her father-in-law and her husband were dead, she bowed and gave birth, for her pains came upon her."
In Luke's account of the Beatitudes who does Jesus say the Kingdom of God belongs to?,The poor,42,6,20,42006020,"And he lifted up his eyes on his disciples, and said:""Blessed are you who are poor, for yours is the kingdom of God."
For what reason did Isaac say he loved Esau?,Isaac ate of his venison ,1,25,28,1025028,"Isaac loved Esau because he ate of his game, but Rebekah loved Jacob."
In the ritual cleansing of a leper under the Law of Moses which animals were to be offered on the eighth day?,Lambs,3,14,10,3014010,"""And on the eighth day he shall take two male lambs without blemish, and one ewe lamb a year old without blemish, and a grain offering of three tenths of an ephah of fine flour mixed with oil, and one log of oil."
"Who should you ""withdraw from"" according to the epistles of Thessalonians?",Idle/disorderly brethren ,53,3,6,53003006,"Now we command you, brothers, in the name of our Lord Jesus Christ, that you keep away from any brother who is walking in idleness and not in accord with the tradition that you received from us."
How was the earth watered initially before rain?,Mist went up from the earth ,1,2,6,1002006,and a mist was going up from the land and was watering the whole face of the ground--
What proportion of his goods did Zacchaeus give away to the poor?,Half,42,19,8,42019008,"And Zacchaeus stood and said to the Lord, ""Behold, Lord, the half of my goods I give to the poor. And if I have defrauded anyone of anything, I restore it fourfold."""
How old was Anna the prophetess when she saw Jesus?,Eighty-four,42,2,37,42002037,"and then as a widow until she was eighty-four. She did not depart from the temple, worshiping with fasting and prayer night and day."
What did Rachel steal from her father Laban when she left home with her husband Jacob?,Household gods / idols,1,31,19,1031019,"Laban had gone to shear his sheep, and Rachel stole her father's household gods."
How does Psalm 96 say we should worship God?,In the beauty of holiness,19,96,9,19096009,"Worship the LORD in the splendor of holiness; tremble before him, all the earth!"
"Why should children listen to ""the instruction of a father""?",To gain understanding,20,4,1,20004001,"Hear, O sons, a father's instruction, and be attentive, that you may gain insight,"
What did the disciples say to Jesus before the ascension?,Lord will you at this time restore again the kingdom to Israel? ,44,1,6,44001006,"So when they had come together, they asked him, ""Lord, will you at this time restore the kingdom to Israel?"""
What did Jesus eat to convince the disciples that he was indeed raised from the dead?,Fish and honeycomb ,42,24,42,42024042,"They gave him a piece of broiled fish,"
How old was Joseph when he died? Where was David born?,110,1,50,22,1050022,"So Joseph remained in Egypt, he and his father's house. Joseph lived 110 years."
Where was David born?,Bethlehem,9,17,58,9017058,"And Saul said to him, ""Whose son are you, young man?"" And David answered, ""I am the son of your servant Jesse the Bethlehemite."""
"How were the Thessalonians told to ""keep their own bodies""?",In sanctification and honor ,52,4,4,52004004,"that each one of you know how to control his own body in holiness and honor,"
How many companions did the Philistines give to Samson at the feast in Timnah?,Thirty,7,14,11,7014011,"As soon as the people saw him, they brought thirty companions to be with him."
What did Noah send out to test whether the land was dry?,Dove,1,8,8,1008008,"Then he sent forth a dove from him, to see if the waters had subsided from the face of the ground."
What instruments were used to praise God when the temple foundation was rebuilt?,Trumpets and cymbals ,15,3,10,15003010,"And when the builders laid the foundation of the temple of the LORD, the priests in their vestments came forward with trumpets, and the Levites, the sons of Asaph, with cymbals, to praise the LORD, according to the directions of David king of Israel."
What did Daniel see by the river Hiddekel?,A man clothed in linen,27,10,5,27010005,"I lifted up my eyes and looked, and behold, a man clothed in linen, with a belt of fine gold from Uphaz around his waist."
Which tribe went to war with the rest of the children of Israel?,Benjamin,7,20,14,7020014,Then the people of Benjamin came together out of the cities to Gibeah to go out to battle against the people of Israel.
Paul thanks God that he did not baptize any of the Corinthians except for which people?,Crispus Gaius and the household of Stephanas,46,1,14,46001014,"I thank God that I baptized none of you except Crispus and Gaius,"
Which Pharisee said that if the gospel truly comes from God no-one will be able to stop it spreading?,Gamaliel,44,5,34,44005034,"But a Pharisee in the council named Gamaliel, a teacher of the law held in honor by all the people, stood up and gave orders to put the men outside for a little while."
Where does Solomon say that leopards live?,Mountains,22,4,8,22004008,"Come with me from Lebanon, my bride; come with me from Lebanon. Depart from the peak of Amana, from the peak of Senir and Hermon, from the dens of lions, from the mountains of leopards."
Melchizedek was a high priest but also king of where?,Salem,1,14,18,1014018,And Melchizedek king of Salem brought out bread and wine. (He was priest of God Most High.)
What did Melchizedek give to Abram?,Bread and wine,1,14,18,1014018,And Melchizedek king of Salem brought out bread and wine. (He was priest of God Most High.)
Which king had the longest reign over the Kingdom of Israel?,Jeroboam II,12,14,23,12014023,"In the fifteenth year of Amaziah the son of Joash, king of Judah, Jeroboam the son of Joash, king of Israel, began to reign in Samaria, and he reigned forty-one years."
On what day of the week was Christ resurrected?,First,43,20,1,43020001,"Now on the first day of the week Mary Magdalene came to the tomb early, while it was still dark, and saw that the stone had been taken away from the tomb."
Paul and Silas were imprisoned during the second missionary journey but in what city did this happen?,Philippi,44,16,12,44016012,"and from there to Philippi, which is a leading city of the district of Macedonia and a Roman colony. We remained in this city some days."
In Matthew's account of the Sermon on the Mount what was the first of the Beatitudes?,Blessed are the poor in spirit for theirs is the kingdom of heaven,40,5,3,40005003,"""Blessed are the poor in spirit, for theirs is the kingdom of heaven."
Jesus appeared to his disciples after the resurrection beside which sea?,Sea of Tiberias,43,21,1,43021001,"After this Jesus revealed himself again to the disciples by the Sea of Tiberias, and he revealed himself in this way."
Where did Philip preach the good news about the Kingdom of God leading to many baptisms?,Samaria,44,8,12,44008012,"But when they believed Philip as he preached good news about the kingdom of God and the name of Jesus Christ, they were baptized, both men and women."
What did Paul do immediately after receiving his sight back?,He was baptized,44,9,18,44009018,"And immediately something like scales fell from his eyes, and he regained his sight. Then he rose and was baptized;"
What was the name of the city where God promised Elijah a widow will sustain him?,Zarephath,11,17,9,11017009,"""Arise, go to Zarephath, which belongs to Sidon, and dwell there. Behold, I have commanded a widow there to feed you."""
What was the name of a man who was given the Spirit of God to enable him to become a good craftsman and assist with the building of the tabernacle?,Bezaleel,2,31,2,2031002,"""See, I have called by name Bezalel the son of Uri, son of Hur, of the tribe of Judah,"
Who was king of the southern kingdom when the northern kingdom of Israel fell to Assyria?,Hezekiah,12,18,9,12018009,"In the fourth year of King Hezekiah, which was the seventh year of Hoshea son of Elah, king of Israel, Shalmaneser king of Assyria came up against Samaria and besieged it,"
In Zechariah the prophet has a vision of a man riding a red horse and standing under what kind of tree?,Myrtle,38,1,8,38001008,"""I saw in the night, and behold, a man riding on a red horse! He was standing among the myrtle trees in the glen, and behind him were red, sorrel, and white horses."
For how long did Abdon son of Hillel judge Israel?,Eight years,7,12,14,7012014,"He had forty sons and thirty grandsons, who rode on seventy donkeys, and he judged Israel eight years."
When the Israelites came to Elim how many palm trees were there?,Seventy,2,15,27,2015027,"Then they came to Elim, where there were twelve springs of water and seventy palm trees, and they encamped there by the water."
How many rivers did the river in Eden split into once it left the garden?,Four,1,2,10,1002010,"A river flowed out of Eden to water the garden, and there it divided and became four rivers."
What was the name of the Sorcerer Paul met on the island of Cyprus?,Elymas,44,13,8,44013008,"But Elymas the magician (for that is the meaning of his name) opposed them, seeking to turn the proconsul away from the faith."
How much did Ruth glean on her first day in Boaz's field?,An ephah of barley,8,2,17,8002017,"So she gleaned in the field until evening. Then she beat out what she had gleaned, and it was about an ephah of barley."
Who thanked King David for allowing his (David's) son Absalom to return to Jerusalem?,Joab,10,14,22,10014022,"And Joab fell on his face to the ground and paid homage and blessed the king. And Joab said, ""Today your servant knows that I have found favor in your sight, my lord the king, in that the king has granted the request of his servant."""
"In the parable of the lamp where is the candle to be ""set once it is lit""?",In a candlestick,42,11,33,42011033,"""No one after lighting a lamp puts it in a cellar or under a basket, but on a stand, so that those who enter may see the light."
"""A wholesome (healing) tongue"" is described as what?",A tree of life,20,15,4,20015004,"A gentle tongue is a tree of life, but perverseness in it breaks the spirit."
Three of David's mighty men went to get him a drink of water from where?,A well of Bethlehem,10,23,16,10023016,Then the three mighty men broke through the camp of the Philistines and drew water out of the well of Bethlehem that was by the gate and carried and brought it to David. But he would not drink of it. He poured it out to the LORD
What was the name of the field where Abraham buried his wife?,Machpelah,1,23,19,1023019,"After this, Abraham buried Sarah his wife in the cave of the field of Machpelah east of Mamre (that is, Hebron) in the land of Canaan."
From which country did Solomon import horses?,Egypt,11,10,28,11010028,"And Solomon's import of horses was from Egypt and Kue, and the king's traders received them from Kue at a price."
Why did Pharaoh give Joseph's family the land of Goshen to live in?,To keep them separate as they were shepherds which were an abomination to the Egyptians,1,46,34,1046034,"you shall say, 'Your servants have been keepers of livestock from our youth even until now, both we and our fathers,' in order that you may dwell in the land of Goshen, for every shepherd is an abomination to the Egyptians."""
After the exile the Israelites returned and started to rebuild the temple in Jerusalem but which other prophet along with Zechariah was sent to encourage the completion of the partly built temple?,Haggai,37,2,4,37002004,"Yet now be strong, O Zerubbabel, declares the LORD. Be strong, O Joshua, son of Jehozadak, the high priest. Be strong, all you people of the land, declares the LORD. Work, for I am with you, declares the LORD of hosts,"
At what place did the writer to the Thessalonians say he'd been given rough treatment?,Philippi,52,2,2,52002002,"But though we had already suffered and been shamefully treated at Philippi, as you know, we had boldness in our God to declare to you the gospel of God in the midst of much conflict."
Who was well reported of at Lystra and Iconium?,Timothy,44,16,2,44016002,He was well spoken of by the brothers at Lystra and Iconium.
In John's first epistle which three things are said to testify and agree about Jesus?,The Spirit the water and the blood,62,5,8,62005008,the Spirit and the water and the blood; and these three agree.
"In Proverbs how shall the ""man's belly be satisfied""?",By the fruit of his mouth,20,18,20,20018020,From the fruit of a man's mouth his stomach is satisfied; he is satisfied by the yield of his lips.
What did Rahab hide the two spies under?,Stalks of fiax,6,2,6,6002006,But she had brought them up to the roof and hid them with the stalks of flax that she had laid in order on the roof.
In years roughly how long did Paul spend in Ephesus?,Three years,44,20,31,44020031,"Therefore be alert, remembering that for three years I did not cease night or day to admonish everyone with tears."
"What does Psalm 16 say there is in ""the Lord's right hand""?",Pleasures for evermore,19,16,11,19016011,You make known to me the path of life; in your presence there is fullness of joy; at your right hand are pleasures forevermore.
Who walked barefoot and naked for three years at the Lord's command?,Isaiah,23,20,2,23020002,"at that time the LORD spoke by Isaiah the son of Amoz, saying, ""Go, and loose the sackcloth from your waist and take off your sandals from your feet,"" and he did so, walking naked and barefoot."
Who promised to give their daughters to Shechemites if they agreed to be circumcised only to kill them instead three days later while they were still sore?,Sons of Jacob,1,34,13,1034013,"The sons of Jacob answered Shechem and his father Hamor deceitfully, because he had defiled their sister Dinah."
Which god did the people of Lystra think Paul was?,Mercurius,44,14,12,44014012,"Barnabas they called Zeus, and Paul, Hermes, because he was the chief speaker."
What was the name of the god that Barnabas was called at Lystra?,Jupiter,44,14,12,44014012,"Barnabas they called Zeus, and Paul, Hermes, because he was the chief speaker."
What happened to the sun when the sixth seal was opened?,It became as black as sackcloth ,66,6,12,66006012,"When he opened the sixth seal, I looked, and behold, there was a great earthquake, and the sun became black as sackcloth, the full moon became like blood,"
What characteristics are attached to the breastplate mentioned in Thessalonians?,Faith and love,52,5,8,52005008,"But since we belong to the day, let us be sober, having put on the breastplate of faith and love, and for a helmet the hope of salvation."
In Revelation unclean spirits came out of the mouth of the dragon in the form of what animals?,Frogs,66,16,13,66016013,"And I saw, coming out of the mouth of the dragon and out of the mouth of the beast and out of the mouth of the false prophet, three unclean spirits like frogs."
How old was Noah when the floods came?,600,1,7,6,1007006,Noah was six hundred years old when the flood of waters came upon the earth.
Which king contributes words of wisdom in Proverbs chapter 31?,Lemuel,20,31,1,20031001,The words of King Lemuel. An oracle that his mother taught him:
In which Jewish month is the Passover?,Abib,5,16,1,5016001,"""Observe the month of Abib and keep the Passover to the LORD your God, for in the month of Abib the LORD your God brought you out of Egypt by night."
Who did Daniel see sitting in a throne in his vision of the four beasts?,The Ancient of Days,27,7,9,27007009,"As I looked, thrones were placed, and the Ancient of days took his seat; his clothing was white as snow, and the hair of his head like pure wool; his throne was fiery flames; its wheels were burning fire."
The Ethiopian eunuch held what office of responsibility to Candace queen of the Ethiopians?,Treasurer,44,8,27,44008027,"And he rose and went. And there was an Ethiopian, a eunuch, a court official of Candace, queen of the Ethiopians, who was in charge of all her treasure. He had come to Jerusalem to worship"
How does Psalm 100 say we should come before the Lord's presence?,With singing,19,100,2,19100002,Serve the LORD with gladness! Come into his presence with singing!
How many concubines did Solomon have?,300,11,11,3,11011003,"He had 700 wives, princesses, and 300 concubines. And his wives turned away his heart."
How did Moses make the bitter waters of Marah sweet?,Threw a piece of wood into the water,2,15,25,2015025,"And he cried to the LORD, and the LORD showed him a log, and he threw it into the water, and the water became sweet.There the LORD made for them a statute and a rule, and there he tested them,"
How did Adam and Eve feel about their nakedness at first?,They were not ashamed ,1,2,25,1002025,And the man and his wife were both naked and were not ashamed.
Who deceived the worshippers of Baal into attending sacrifices only to destroy them all once they had arrived?,Jehu,12,10,19,12010019,"Now therefore call to me all the prophets of Baal, all his worshipers and all his priests. Let none be missing, for I have a great sacrifice to offer to Baal. Whoever is missing shall not live."" But Jehu did it with cunning in order to destroy the worshipers of Baal."
The branched candlestick in the tabernacle had its cups carved in the likeness of which plant?,Almond blossom,2,25,33,2025033,"three cups made like almond blossoms, each with calyx and flower, on one branch, and three cups made like almond blossoms, each with calyx and flower, on the other branch--so for the six branches going out of the lampstand."
What happened to the soldiers of Gideon who lapped the river water with their tongues like dogs?,They were chosen to fight against the Midianites,7,7,5,7007005,"So he brought the people down to the water. And the LORD said to Gideon, ""Every one who laps the water with his tongue, as a dog laps, you shall set by himself. Likewise, every one who kneels down to drink."""
How old was Abraham's first wife when she died?,127 years,1,23,1,1023001,Sarah lived 127 years; these were the years of the life of Sarah.
"To what does the ""seventy weeks"" prophecy refer?",The coming of the Messiah,27,9,24,27009024,"""Seventy weeks are decreed about your people and your holy city, to finish the transgression, to put an end to sin, and to atone for iniquity, to bring in everlasting righteousness, to seal both vision and prophet, and to anoint a most holy place."
To which tribe did Anna the prophetess belong?,Asher,42,2,36,42002036,"And there was a prophetess, Anna, the daughter of Phanuel, of the tribe of Asher. She was advanced in years, having lived with her husband seven years from when she was a virgin,"
What tribe was Anna the prophetess from?,Aser,42,2,36,42002036,"And there was a prophetess, Anna, the daughter of Phanuel, of the tribe of Asher. She was advanced in years, having lived with her husband seven years from when she was a virgin,"
What part of Paul's clothing did Agabus use?,Girdle,44,21,11,44021011,"And coming to us, he took Paul's belt and bound his own feet and hands and said, ""Thus says the Holy Spirit, 'This is how the Jews at Jerusalem will bind the man who owns this belt and deliver him into the hands of the Gentiles.'"""
Jesus initially sent the twelve disciples to preach to which group of people?,House of Israel,40,10,6,40010006,but go rather to the lost sheep of the house of Israel.
Where will the believers reign in the Kingdom of God?,On Earth,66,5,10,66005010,"and you have made them a kingdom and priests to our God, and they shall reign on the earth."""
"Who shall the ""prayer of faith"" save?",The sick,59,5,15,59005015,"And the prayer of faith will save the one who is sick, and the Lord will raise him up. And if he has committed sins, he will be forgiven."
"Who was Paul referring to when he said ""May the Lord grant mercy to his household for he often refreshed me and was not ashamed of my chains""?",Onesiphorus,55,1,16,55001016,"May the Lord grant mercy to the household of Onesiphorus, for he often refreshed me and was not ashamed of my chains,"
How many elders witnessed Boaz's agreement with the kinsman?,Ten,8,4,2,8004002,"And he took ten men of the elders of the city and said, ""Sit down here."" So they sat down."
"According to Job what is the hope of ""a tree that is cut down""?",It will sprout again,18,14,7,18014007,"""For there is hope for a tree, if it be cut down, that it will sprout again, and that its shoots will not cease."
What should the Israelites not destroy when they besiege a city?,Trees for meat,5,20,19,5020019,"""When you besiege a city for a long time, making war against it in order to take it, you shall not destroy its trees by wielding an axe against them. You may eat from them, but you shall not cut them down. Are the trees in the field human, that they should be besieged by you?"
What offering did Gideon present to the Lord under the oak tree?,A young goat and some unleavened bread ,7,6,19,7006019,"So Gideon went into his house and prepared a young goat and unleavened cakes from an ephah of flour. The meat he put in a basket, and the broth he put in a pot, and brought them to him under the terebinth and presented them."
On what island was Paul shipwrecked as he made his way to Rome?,Malta,44,28,1,44028001,"After we were brought safely through, we then learned that the island was called Malta."
"""An excellent wife"" is a what to her husband?",A crown,20,12,4,20012004,"An excellent wife is the crown of her husband, but she who brings shame is like rottenness in his bones."
To what tribe did Samson belong?,Dan,7,13,25,7013025,"And the Spirit of the LORD began to stir him in Mahaneh-dan, between Zorah and Eshtaol."
Where did Israel pitch its tents by Jericho?,Plains of Moab,4,22,1,4022001,Then the people of Israel set out and camped in the plains of Moab beyond the Jordan at Jericho.
"What is ""sanctified by the word of God and prayer""?",God's creation,54,4,5,54004005,for it is made holy by the word of God and prayer.
In the parable of the good father if a son asks for an egg what would the good father not give him?,A scorpion,42,11,12,42011012,"or if he asks for an egg, will give him a scorpion?"
Fearing that Saul wanted to kill him what lie did David ask Jonathan to tell his father if asked why he wasn't at the king's table for the New Moon feast?,He had gone to Bethlehem for afamily gathering ,9,20,6,9020006,"If your father misses me at all, then say, 'David earnestly asked leave of me to run to Bethlehem his city, for there is a yearly sacrifice there for all the clan.'"
What was the name of the field that Jacob requested to be buried in?,Machpelah ,1,50,13,1050013,"for his sons carried him to the land of Canaan and buried him in the cave of the field at Machpelah, to the east of Mamre, which Abraham bought with the field from Ephron the Hittite to possess as a burying place."
How long did Noah live for after the flood?,350 years,1,9,28,1009028,After the flood Noah lived 350 years.
Paul Timothy and who else sent their greetings to Thessalonica?,Silvanus,52,1,1,52001001,"Paul, Silvanus, and Timothy,To the church of the Thessalonians in God the Father and the Lord Jesus Christ:Grace to you and peace."
How many years did Jacob live for?,147,1,47,28,1047028,"And Jacob lived in the land of Egypt seventeen years. So the days of Jacob, the years of his life, were 147 years."
"What animal is ""better than a dead lion""?",A living dog,21,9,4,21009004,"But he who is joined with all the living has hope, for a living dog is better than a dead lion."
One of the ten plagues of Egypt was the plague of boils but which number was it?,Sixth,2,9,8,2009008,"And the LORD said to Moses and Aaron, ""Take handfuls of soot from the kiln, and let Moses throw them in the air in the sight of Pharaoh."
Which city did Silas and Timothy come from before they met up with Paul in Corinth?,Macedonia,44,18,5,44018005,"When Silas and Timothy arrived from Macedonia, Paul was occupied with the word, testifying to the Jews that the Christ was Jesus."
"Who told his wife not to worry that she was barren and said ""am not I better to thee than ten sons""?",Elkanah,9,1,8,9001008,"And Elkanah, her husband, said to her, ""Hannah, why do you weep? And why do you not eat? And why is your heart sad? Am I not more to you than ten sons?"""
"What does Job say is ""poured out like water""?",His groanings,18,3,24,18003024,"For my sighing comes instead of my bread, and my groanings are poured out like water."
"A word ""softly spoken"" is like what of gold set in pictures of silver?",Apples,20,25,11,20025011,A word fitly spoken is like apples of gold in a setting of silver.
On which occasion in the Bible does it specifically say that believers sung a hymn?,Jesus and the disciples celebrating Passover,40,26,30,40026030,"And when they had sung a hymn, they went out to the Mount of Olives."
To which city did Samson go down to and kill thirty men?,Ashkelon,7,14,19,7014019,"And the Spirit of the LORD rushed upon him, and he went down to Ashkelon and struck down thirty men of the town and took their spoil and gave the garments to those who had told the riddle. In hot anger he went back to his father's house."
Who was the Persian king when the rebuilding of the temple after the exile was finally complete?,Darius,15,6,15,15006015,"and this house was finished on the third day of the month of Adar, in the sixth year of the reign of Darius the king."
What part of King Asa's body was diseased?,Feet,11,15,23,11015023,"Now the rest of all the acts of Asa, all his might, and all that he did, and the cities that he built, are they not written in the Book of the Chronicles of the Kings of Judah? But in his old age he was diseased in his feet."
Which priest anointed Solomon?,Zadok,11,1,39,11001039,"There Zadok the priest took the horn of oil from the tent and anointed Solomon. Then they blew the trumpet, and all the people said, ""Long live King Solomon!"""
"Who does James say is the ""source of every good and every perfect gift""?",Father of Lights,59,1,17,59001017,"Every good gift and every perfect gift is from above, coming down from the Father of lights with whom there is no variation or shadow due to change."
Which disciple asked Jesus to show them the Father?,Philip,43,14,8,43014008,"Philip said to him, ""Lord, show us the Father, and it is enough for us."""
What did Athaliah do when she saw her son Ahaziah was dead?,Destroyed the rest of the royal family,12,11,1,12011001,"Now when Athaliah the mother of Ahaziah saw that her son was dead, she arose and destroyed all the royal family."
Who had a bed 13.5 foot long by 6 foot wide?,Og,5,3,11,5003011,"(For only Og the king of Bashan was left of the remnant of the Rephaim. Behold, his bed was a bed of iron. Is it not in Rabbah of the Ammonites? Nine cubits was its length, and four cubits its breadth, according to the common cubit. )"
Whose handkerchiefs were able to heal the sick?,Paul,44,19,12,44019012,"so that even handkerchiefs or aprons that had touched his skin were carried away to the sick, and their diseases left them and the evil spirits came out of them."
How did Daniel react to the vision by the river Hiddekel?,He felt ill and weak,27,10,8,27010008,"So I was left alone and saw this great vision, and no strength was left in me. My radiant appearance was fearfully changed, and I retained no strength."
Which Old Testament prophet was given a book to eat by God?,Ezekiel,26,3,2,26003002,"So I opened my mouth, and he gave me this scroll to eat."
What was the name of the centurion who looked after Paul on the journey to Rome?,Julius,44,27,1,44027001,"And when it was decided that we should sail for Italy, they delivered Paul and some other prisoners to a centurion of the Augustan Cohort named Julius."
"Which book of the Bible comments that ""dead flies cause the ointment of the apothecary to send forth a stinking savor?""",Ecclesiastes,21,10,1,21010001,Dead flies make the perfumer's ointment give off a stench; so a little folly outweighs wisdom and honor.
"""Bread gained by deceit is sweet to a man"" but what shall his mouth be filled with afterwards?",Gravel,20,20,17,20020017,"Bread gained by deceit is sweet to a man, but afterward his mouth will be full of gravel."
How long did it take Solomon to build his own house?,Thirteen years,11,7,1,11007001,"Solomon was building his own house thirteen years, and he finished his entire house."
In the parable of the debtors one owed 500 denarii (pence) but how much did the other one owe?,Fifty,42,7,41,42007041,"""A certain moneylender had two debtors. One owed five hundred denarii, and the other fifty."
What was the name of the man who was paralyzed and had been bedridden for eight years?,Aeneas,44,9,33,44009033,"There he found a man named Aeneas, bedridden for eight years, who was paralyzed."
What was Aeneas of Lidda sick from?,Palsy,44,9,33,44009033,"There he found a man named Aeneas, bedridden for eight years, who was paralyzed."
How old was Abram when he first became a father?,Eighty-six years,1,16,16,1016016,Abram was eighty-six years old when Hagar bore Ishmael to Abram.
How long was Noah's ark?,300 cubits / 450 feet,1,6,15,1006015,"This is how you are to make it:the length of the ark 300 cubits, its breadth 50 cubits, and its height 30 cubits."
During Paul's third missionary journey roughly for how long did he minister in the school of Tyrannus at Ephesus?,Two years,44,19,10,44019010,"This continued for two years, so that all the residents of Asia heard the word of the Lord, both Jews and Greeks."
"What does James say ""envying and strife in your heart"" brings?",Confusion and every evil work,59,3,16,59003016,"For where jealousy and selfish ambition exist, there will be disorder and every vile practice."
Which honorable counselor was waiting for the Kingdom of God?,Joseph of Arimathea,41,15,43,41015043,"Joseph of Arimathea, a respected member of the Council, who was also himself looking for the kingdom of God, took courage and went to Pilate and asked for the body of Jesus."
One of the Ten Commandments forbids the coveting of a neighbor's property. Which one?,Tenth,2,20,17,2020017,"""You shall not covet your neighbor's house; you shall not covet your neighbor's wife, or his male servant, or his female servant, or his ox, or his donkey, or anything that is your neighbor's."""
What did God specifically command concerning the eating of the thanksgiving offering that the Israelites made?,They must eat it on the day it is offered.,3,7,15,3007015,And the flesh of the sacrifice of his peace offerings for thanksgiving shall be eaten on the day of his offering. He shall not leave any of it until the morning.
"Which tribe's blessing from Jacob said they would ""dwell at the haven of the sea""?",Zebulun,1,49,13,1049013,"""Zebulun shall dwell at the shore of the sea; he shall become a haven for ships, and his border shall be at Sidon."
Jesus accused the Pharisees of hypocritically paying tithes on herbs and omitting which weightier matters of the law?,Judgment mercy and faith,40,23,23,40023023,"""Woe to you, scribes and Pharisees, hypocrites! For you tithe mint and dill and cumin, and have neglected the weightier matters of the law:justice and mercy and faithfulness. These you ought to have done, without neglecting the others."
Which king of Heshbon would not let the Israelites pass through his land?,Sihon,5,2,30,5002030,"But Sihon the king of Heshbon would not let us pass by him, for the LORD your God hardened his spirit and made his heart obstinate, that he might give him into your hand, as he is this day."
How many horns did the ram in Daniel's vision have?,Two,27,8,3,27008003,"I raised my eyes and saw, and behold, a ram standing on the bank of the canal. It had two horns, and both horns were high, but one was higher than the other, and the higher one came up last."
